Model,MAE,RMSE,R2 Score
Linear Regression,1.2163740193330423,1.8658375680942485,0.8488707839193136
Decision Tree,0.7334426229508197,1.1206965047405586,0.9454773698218325
Random Forest,0.6494213114754099,0.9773688611040035,0.9585315540912656
