Feature,Importance
Present_Price,0.8795149165336908
Car_Age,0.06108491031130362
Driven_kms,0.04004599366218266
Transmission_Manual,0.009704019567693411
Fuel_Type_Petrol,0.00345023421327251
Fuel_Type_Diesel,0.0033984331156776608
Selling_type_Individual,0.0023159626987868196
Owner,0.000485529897392454
